provider_type,estimated_medicare_payment
Ophthalmology,84616489.8699443
Internal Medicine,82340750.52993925
Nurse Practitioner,62114662.960049964
Ambulance Service Provider,59439949.72996826
Geriatric Medicine,44707561.86009458
Diagnostic Radiology,41815534.540012
Cardiology,38638593.08000336
Physical Therapist in Private Practice,33227099.61001141
Physician Assistant,32363772.310002133
Ambulatory Surgical Center,29344428.57999642
Orthopedic Surgery,25413304.930000477
Dermatology,24614363.650010277
Emergency Medicine,23112215.40999886
Family Practice,21043572.0999971
Mass Immunizer Roster Biller,20475768.64998912
