state,standardized_payment_per_service,total_services
AS,75.0526744186279,86.0
FM,66.43046277652314,497.0
ZZ,62.94546677319366,23791.0
MP,58.26330717689613,15012.2
WI,49.49797516923985,25798991.30000001
DC,46.90071586995121,4430232.4
NH,45.95344887496841,7610745.6
UT,44.01469987647838,13312601.699999997
MT,43.45263944472867,5805556.3
CT,42.89103482825293,20118656.400000002
AZ,42.70986237587021,73560935.10000001
VT,42.069511058298325,2681616.2
MA,40.69458636357577,56705130.7
IN,40.12137537866362,40270320.99999999
WV,40.10194004359963,8874011.899999999
CA,40.0909048521431,268124060.70000005
ID,40.06110206149504,12247730.800000003
SD,39.87614386703389,5989636.299999999
MI,39.48725585121672,51597906.6
WA,39.10215143417987,37972865.199999996
RI,38.30009989721848,6098967.500000001
MS,38.06730327675946,26519047.3
ME,37.857240393065574,6133944.6
KY,37.22565440353668,27697168.6
AP,37.2213434210043,40181.0
OH,37.164305744229004,68484635.6
HI,37.054289798094864,5866174.7
OR,36.81908279167841,20691207.9
DE,36.61529663436067,11808552.499999994
NM,36.33980011173659,10220399.700000003
AK,36.01451894175209,4672599.5
MO,35.87931196198663,39779069.4
ND,35.83603131240148,5284027.8999999985
CO,35.805634001287466,37843571.6
MD,35.782228166248835,72945136.0
LA,35.728416988786286,30718748.099999998
IA,35.529139910160126,22407055.7
NY,35.42785952731347,163319762.69999996
SC,35.21639368854164,50610844.4
NV,34.920564341861194,27121409.200000003
OK,34.761877000125075,32797054.9
GA,34.03083648925305,69409379.99999999
PA,33.96671267301247,110690823.6
VA,33.93726441232083,73668209.4
TN,33.11206562084619,64364860.300000004
KS,32.92990515578298,30999494.099999994
TX,32.83507947660421,217132849.0
AR,32.206490771989216,30044244.400000002
MN,32.19397169773719,31411017.79999999
WY,31.99888172274945,4163761.7
NC,31.86417294645247,86899822.1
NE,31.394598389921846,19523062.299999993
FL,30.996055950735023,286685790.29999995
NJ,30.906152062579963,117720233.00000003
GU,30.836829057006362,534855.4
AL,29.441682503574093,47020104.39999999
VI,29.43077949720552,332450.2
IL,28.77965457758429,145639829.8
XX,27.369635464547585,112225.0
PR,26.56300826795062,2145165.3
AA,26.183248306444113,23914.0
AE,14.6573102508311,865735.0
