hcpcs_label,estimated_medicare_payment,total_services
"99214 - Established patient office or other outpatient visit, 30-39 minutes",8232146356.509938,99338726.1
"99213 - Established patient office or other outpatient visit, 20-29 minutes",4123102926.0599704,70165330.9
"J0178 - Injection, aflibercept, 1 mg",2354722371.7601795,3427458.1
"99232 - Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",2143391723.9200554,34797913.5
"99233 - Subsequent hospital care with moderate levelof medical decision making, if using time, at least 50 minutes",2026948698.620101,21652308.0
"K1034 - Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",1781284718.5591595,153281273.3
66984 - Removal of cataract with insertion of prosthetic lens,1574488006.7006438,7103624.0
"A0427 - Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",1511990754.200294,3770133.1999999997
"99215 - Established patient office or other outpatient visit, 40-54 minutes",1340835499.3899846,11126975.0
"99204 - New patient office or other outpatient visit, 45-59 minutes",1280920739.6600525,11396351.0
"99223 - Initial hospital care with moderate level of medical decision making, if using time, at least 75 minutes",1266539711.6601932,9474319.0
99285 - Emergency department visit with high level of medical decision making,1163836365.429927,8497294.0
"J9271 - Injection, pembrolizumab, 1 mg",1154350197.3702002,27083045.0
"97110 - Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",1150871609.650054,63754199.00000001
"G0439 - Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",1145168373.7300744,9739184.0
