provider_type,estimated_medicare_payment,total_services
Clinical Laboratory,7365997003.2130375,380483345.79999995
Ophthalmology,7246048849.031072,89621355.2
Internal Medicine,6856444783.230334,136564575.5
Nurse Practitioner,5693319919.71141,127122925.90000002
Ambulance Service Provider,4368020104.608464,115957213.6
Family Practice,4361955099.531173,93310859.8
Ambulatory Surgical Center,4298258797.720671,19482343.1
Diagnostic Radiology,3588175049.4902625,198383156.69999996
Cardiology,3485495792.4802146,57772859.699999996
Physical Therapist in Private Practice,3310404026.810341,161789551.0
Hematology-Oncology,2799274154.610247,214556712.79999995
Dermatology,2728498287.820294,47840092.599999994
Physician Assistant,2340701428.9402075,62733670.5
Orthopedic Surgery,2116115610.550252,42670909.800000004
Emergency Medicine,1886988095.7800202,21772107.1
